dataType,accelX,accelY,accelZ
1,0.24,-0.61,0.00
1,0.31,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.61,-0.67,-0.12
1,0.31,-0.61,0.00
1,0.31,-0.61,0.00
1,0.24,-0.61,-0.06
1,0.43,-0.67,0.00
1,0.67,-0.61,-0.06
1,0.55,-0.67,-0.06
1,0.24,-0.61,0.00
1,0.31,-0.61,0.00
1,0.43,-0.61,-0.06
1,0.67,-0.73,-0.06
1,0.55,-0.67,-0.06
1,0.24,-0.61,0.00
1,0.37,-0.61,0.00
1,0.37,-0.61,-0.06
1,0.55,-0.67,-0.06
1,0.49,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.43,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.67,-0.67,-0.06
1,0.49,-0.61,-0.06
1,0.31,-0.61,-0.06
1,0.37,-0.61,-0.06
1,0.73,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.61,-0.61,-0.12
1,0.31,-0.67,0.00
1,0.49,-0.67,0.00
1,0.24,-0.61,-0.06
1,0.43,-0.61,0.00
1,0.61,-0.67,-0.06
1,0.37,-0.61,0.00
1,0.31,-0.61,0.00
1,0.61,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.37,-0.67,0.00
1,0.37,-0.61,0.00
1,0.37,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.67,-0.67,-0.12
1,0.31,-0.61,0.00
1,0.43,-0.67,0.00
1,0.43,-0.61,-0.06
1,0.55,-0.73,-0.06
1,0.43,-0.61,0.00
1,0.37,-0.61,0.00
1,0.18,-0.61,0.00
1,0.73,-0.73,-0.12
1,0.67,-0.67,-0.06
1,0.31,-0.61,0.00
1,0.31,-0.61,-0.06
1,0.67,-0.73,-0.06
1,0.55,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.31,-0.67,-0.06
1,0.43,-0.67,0.00
1,0.61,-0.67,-0.06
1,0.49,-0.61,0.00
1,0.37,-0.61,0.00
1,0.43,-0.67,-0.06
1,0.24,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.61,-0.67,-0.12
1,0.31,-0.67,-0.06
1,0.49,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.49,-0.67,-0.06
1,0.24,-0.61,0.00
1,0.43,-0.67,0.00
1,0.49,-0.67,0.00
1,0.67,-0.67,-0.12
1,0.43,-0.67,-0.06
1,0.37,-0.61,0.00
1,0.55,-0.67,0.00
1,0.49,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.31,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.79,-0.67,-0.12
1,0.55,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.49,-0.61,-0.06
1,0.67,-0.67,-0.06
1,0.43,-0.67,0.00
1,0.31,-0.67,0.00
1,0.43,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.24,-0.61,0.00
1,0.24,-0.67,0.00
1,0.67,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.49,-0.67,-0.06
1,0.12,-0.61,-0.06
1,0.55,-0.67,0.00
1,0.49,-0.67,0.00
1,0.67,-0.67,0.00
1,0.55,-0.67,-0.06
1,0.37,-0.61,0.00
1,0.43,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.73,-0.73,-0.06
1,0.49,-0.61,-0.12
1,0.31,-0.67,0.00
1,0.49,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.37,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.55,-0.67,-0.12
1,0.37,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.31,-0.61,0.00
1,0.49,-0.61,-0.06
1,0.73,-0.73,-0.12
1,0.43,-0.61,-0.06
1,0.31,-0.61,0.00
1,0.43,-0.67,-0.06
1,0.49,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.37,-0.67,-0.06
1,0.31,-0.67,0.00
1,0.55,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.31,-0.55,0.00
1,0.49,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.55,-0.67,-0.06
1,0.55,-0.67,-0.12
1,0.31,-0.67,0.00
1,0.55,-0.61,-0.06
1,0.73,-0.73,-0.12
1,0.61,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.31,-0.67,-0.06
1,0.49,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.31,-0.61,0.00
1,0.49,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.43,-0.67,0.00
1,0.55,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.49,-0.67,0.00
1,0.73,-0.67,-0.06
1,0.73,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.31,-0.61,0.00
1,0.55,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.49,-0.61,-0.06
1,0.37,-0.61,-0.06
1,0.24,-0.67,-0.06
1,0.49,-0.61,-0.06
1,0.61,-0.67,-0.12
1,0.43,-0.67,-0.06
1,0.18,-0.61,0.00
1,0.55,-0.73,-0.06
1,0.55,-0.67,-0.06
1,0.37,-0.67,0.00
1,0.43,-0.61,-0.06
1,0.31,-0.61,0.00
1,0.37,-0.61,-0.06
1,0.67,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.12,-0.61,0.00
1,0.61,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.67,-0.67,-0.06
1,0.43,-0.67,0.00
1,0.37,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.31,-0.67,0.00
1,0.24,-0.67,0.00
1,0.37,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.43,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.24,-0.61,0.00
1,0.31,-0.61,0.00
1,0.43,-0.61,-0.06
1,0.55,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.43,-0.61,-0.06
1,0.37,-0.61,0.00
1,0.61,-0.67,-0.12
1,0.55,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.49,-0.61,-0.06
1,0.67,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.31,-0.61,0.00
1,0.43,-0.61,-0.06
1,0.55,-0.61,-0.06
1,0.67,-0.67,-0.06
1,0.37,-0.67,0.00
1,0.31,-0.61,0.00
1,0.67,-0.67,-0.12
1,0.61,-0.67,-0.12
1,0.61,-0.67,-0.06
1,0.31,-0.61,0.00
1,0.37,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.67,-0.67,-0.12
1,0.55,-0.61,15.56
1,0.37,-0.67,0.00
1,0.37,-0.61,0.00
1,0.61,-0.67,-0.06
1,0.73,-0.67,-0.12
1,0.31,-0.61,-0.06
1,0.37,-0.67,0.00
1,0.31,-0.61,-0.06
1,0.55,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.49,-0.67,0.00
1,0.49,-0.67,-0.06
1,0.12,-0.61,0.00
1,0.61,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.43,-0.67,0.00
1,0.37,-0.61,-0.06
1,0.24,-0.61,0.00
1,0.43,-0.67,-0.06
1,0.73,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.31,-0.67,0.00
1,0.31,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.37,-0.61,-0.06
1,0.55,-0.67,0.00
1,0.67,-0.67,-0.06
1,0.49,-0.61,-0.06
1,0.37,-0.61,0.00
1,0.31,-0.61,0.00
1,0.55,-0.67,-0.06
1,0.55,-0.61,0.00
1,0.43,-0.67,-0.06
1,0.31,-0.67,0.00
1,0.18,-0.61,-0.06
1,0.43,-0.61,-0.06
1,0.67,-0.73,-0.06
1,0.49,-0.61,-0.06
1,0.31,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.43,-0.61,0.00
1,0.43,-0.67,-0.06
1,0.31,-0.61,0.00
1,0.37,-0.61,-0.06
1,0.67,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.31,-0.61,0.00
1,0.61,-0.61,-0.06
1,0.55,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.49,-0.61,0.00
1,0.37,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.61,-0.61,-0.06
1,0.37,-0.61,-0.06
1,0.49,-0.67,0.00
1,0.37,-0.67,-0.06
1,0.49,-0.67,-0.06
1,0.55,-0.67,0.00
1,0.43,-0.61,-0.06
1,0.24,-0.67,0.00
1,0.55,-0.67,-0.06
1,0.61,-0.61,-0.06
1,0.37,-0.61,0.00
1,0.43,-0.61,0.00
1,0.37,-0.61,0.00
1,0.55,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.43,-0.67,0.00
1,0.55,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.31,-0.61,0.00
1,0.43,-0.61,-0.06
1,0.73,-0.67,-0.12
1,0.61,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.37,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.55,-0.67,-0.12
1,0.31,-0.61,-0.06
1,0.37,-0.67,0.00
1,0.24,-0.61,0.00
1,0.55,-0.61,-0.12
1,0.61,-0.67,-0.06
1,0.61,-0.61,0.00
1,0.37,-0.61,0.00
1,0.43,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.37,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.18,-0.61,0.00
1,0.55,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.31,-0.61,0.00
1,0.31,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.49,-0.61,-0.06
1,0.43,-0.61,-0.06
1,0.37,-0.67,0.00
1,0.55,-0.61,0.00
1,0.61,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.37,-0.61,0.00
1,0.37,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.49,-0.67,0.00
1,0.61,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.24,-0.61,0.00
1,0.61,-0.67,-0.06
1,0.67,-0.73,-0.06
1,0.55,-0.67,-0.06
1,0.49,-0.61,-0.06
1,0.31,-0.67,0.00
1,0.55,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.43,-0.67,-0.06
1,0.73,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.24,-0.61,0.00
1,0.24,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.24,-0.61,0.00
1,0.55,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.61,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.31,-0.61,0.00
1,0.43,-0.67,0.00
1,0.61,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.31,-0.67,0.00
1,0.61,-0.67,-0.06
1,0.55,-0.73,-0.12
1,0.61,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.37,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.31,-0.67,-0.06
1,0.43,-0.61,0.00
1,0.43,-0.61,0.00
1,0.67,-0.73,-0.12
1,0.67,-0.67,-0.06
1,0.37,-0.61,0.00
1,0.31,-0.61,0.00
1,0.67,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.24,-0.61,0.00
1,0.43,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.43,-0.67,0.00
1,0.43,-0.61,0.00
1,0.67,-0.67,-0.12
1,0.55,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.37,-0.61,0.00
1,0.55,-0.67,-0.06
1,0.55,-0.61,0.00
1,0.31,-0.61,-0.06
1,0.67,-0.73,-0.06
1,0.43,-0.67,-0.06
1,0.55,-0.67,-0.12
1,0.37,-0.61,0.00
1,0.31,-0.61,-0.06
1,0.67,-0.67,-0.06
1,0.49,-0.61,-0.06
1,0.31,-0.61,-0.06
1,0.37,-0.61,0.00
1,0.31,-0.61,0.00
1,0.73,-0.61,-0.06
1,0.61,-0.67,-0.12
1,0.31,-0.61,0.00
1,0.43,-0.61,-0.06
1,0.31,-0.61,0.00
1,0.55,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.37,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.37,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.24,-0.61,-0.06
1,0.37,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.43,-0.67,0.00
1,0.31,-0.61,-0.06
1,0.37,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.37,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.67,-0.73,-0.12
1,0.43,-0.61,-0.06
1,0.67,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.49,-0.67,0.00
1,0.55,-0.61,0.00
1,0.43,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.49,-0.67,-0.06
1,0.24,-0.61,-0.06
1,0.61,-0.73,-0.06
1,0.61,-0.67,-0.06
1,0.31,-0.67,0.00
1,0.43,-0.67,-0.06
1,0.43,-0.61,0.00
1,0.43,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.37,-0.61,-0.06
1,0.24,-0.61,0.00
1,0.55,-0.61,-0.06
1,0.55,-0.67,-0.12
1,0.55,-0.67,-0.06
1,0.49,-0.61,0.00
1,0.24,-0.61,-0.06
1,0.43,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.31,-0.61,0.00
1,0.43,-0.61,-0.12
1,0.73,-0.73,-0.06
1,0.37,-0.61,-0.06
1,0.37,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.73,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.37,-0.61,-0.06
1,0.49,-0.67,0.00
1,0.55,-0.61,-0.06
1,0.43,-0.67,-0.06
1,0.37,-0.61,0.00
1,0.37,-0.61,0.00
1,0.61,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.37,-0.61,0.00
1,0.61,-0.67,-0.06
1,0.49,-0.61,-0.06
1,0.55,-0.67,-0.12
1,0.49,-0.67,0.00
1,0.31,-0.61,-0.06
1,0.49,-0.67,0.00
1,0.61,-0.61,-0.12
1,0.31,-0.67,0.00
1,0.31,-0.61,0.00
1,0.61,-0.67,-0.06
1,0.49,-0.61,-0.06
1,0.49,-0.61,-0.06
1,0.43,-0.67,-0.06
1,0.37,-0.67,0.00
1,0.55,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.31,-0.67,0.00
1,0.43,-0.67,0.00
1,0.31,-0.61,0.00
1,0.67,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.24,-0.61,0.00
1,0.43,-0.67,0.00
1,0.24,-0.61,0.00
1,0.55,-0.67,-0.06
1,0.73,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.37,-0.61,-0.06
1,0.24,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.18,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.24,-0.61,0.00
1,0.49,-0.61,-0.06
1,0.73,-0.67,-0.06
1,0.37,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.37,-0.61,-0.06
1,0.67,-0.67,-0.06
1,0.43,-0.61,0.00
1,0.61,-0.67,-0.06
1,0.43,-0.67,0.00
1,0.37,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.49,-0.61,-0.06
1,0.37,-0.67,0.00
1,0.55,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.31,-0.55,0.00
1,0.49,-0.61,-0.06
1,0.31,-0.67,0.00
1,0.49,-0.61,-0.06
1,0.67,-0.61,-0.12
1,0.43,-0.67,0.00
1,0.43,-0.61,0.00
1,0.18,-0.55,0.00
1,0.55,-0.73,-0.06
1,0.61,-0.67,-0.06
1,0.43,-0.61,0.00
1,0.18,-0.61,0.00
1,0.37,-0.67,0.00
1,0.43,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.31,-0.61,0.00
1,0.61,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.67,-0.73,-0.06
1,0.43,-0.67,-0.06
1,0.24,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.37,-0.61,0.00
1,0.37,-0.61,-0.06
1,0.37,-0.61,-0.06
1,0.55,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.31,-0.61,-0.06
1,0.67,-0.67,-0.12
1,0.49,-0.61,0.00
1,0.31,-0.67,0.00
1,0.43,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.55,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.37,-0.61,0.00
1,0.37,-0.67,0.00
1,0.55,-0.61,-0.12
1,0.49,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.31,-0.55,-0.06
1,0.37,-0.67,-0.06
1,0.73,-0.67,0.00
1,0.49,-0.61,-0.06
1,0.24,-0.61,0.00
1,0.37,-0.67,0.00
1,0.61,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.43,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.31,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.49,-0.67,-0.06
1,0.67,-0.73,-0.06
1,0.55,-0.61,-0.12
1,0.37,-0.67,0.00
1,0.49,-0.67,-0.06
1,0.49,-0.55,-0.06
1,0.55,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.24,-0.61,0.00
1,0.31,-0.67,0.00
1,0.37,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.61,-0.73,-0.06
1,0.55,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.31,-0.67,0.00
1,0.43,-0.61,0.00
1,0.61,-0.67,-0.12
1,0.55,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.24,-0.61,-0.06
1,0.37,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.55,-0.67,-0.06
1,0.43,-0.67,0.00
1,0.24,-0.61,0.00
1,0.67,-0.73,-0.06
1,0.55,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.49,-0.67,-0.06
1,0.61,-0.61,-0.06
1,0.67,-0.67,-0.06
1,0.67,-0.73,-0.12
1,0.37,-0.61,-0.06
1,0.31,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.49,-0.61,0.00
1,0.43,-0.67,0.00
1,0.31,-0.61,-0.06
1,0.55,-0.67,0.00
1,0.43,-0.61,-0.06
1,0.43,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.24,-0.61,0.00
1,0.55,-0.67,-0.12
1,0.61,-0.73,-0.06
1,0.24,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.43,-0.55,0.00
1,0.67,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.43,-0.61,0.00
1,0.49,-0.67,0.00
1,0.55,-0.67,-0.06
1,0.49,-0.67,-0.06
1,0.43,-0.61,0.00
1,0.49,-0.67,0.00
1,0.43,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.24,-0.67,0.00
1,0.49,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.49,-0.67,-0.06
1,0.24,-0.61,-0.06
1,0.49,-0.67,-0.12
1,0.55,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.37,-0.67,-0.06
1,0.37,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.43,-0.67,0.00
1,0.67,-0.67,-0.06
1,0.61,-0.61,-0.06
1,0.55,-0.67,-0.06
1,0.49,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.49,-0.67,0.00
1,0.61,-0.67,-0.06
1,0.31,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.37,-0.61,0.00
1,0.61,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.37,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.67,-0.73,-0.12
1,0.24,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.49,-0.67,0.00
1,0.43,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.43,-0.61,0.00
1,0.43,-0.61,-0.06
1,0.31,-0.67,0.00
1,0.55,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.55,-0.67,-0.06
1,0.37,-0.67,0.00
1,0.67,-0.67,-0.06
1,0.49,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.43,-0.61,0.00
1,0.43,-0.61,0.00
1,0.73,-0.67,-0.06
1,0.55,-0.61,-0.06
1,0.61,-0.67,-0.12
1,0.43,-0.67,-0.06
1,0.24,-0.61,0.00
1,0.37,-0.67,-0.06
1,0.43,-0.67,-0.12
1,0.73,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.37,-0.67,0.00
1,0.55,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.55,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.49,-0.61,0.00
1,0.55,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.18,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.61,-0.73,-0.06
1,0.37,-0.61,-0.06
1,0.24,-0.61,0.00
1,0.37,-0.67,-0.06
1,0.49,-0.61,0.00
1,0.61,-0.67,-0.06
1,0.49,-0.67,-0.06
1,0.37,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.37,-0.67,-0.06
1,0.37,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.61,-0.67,-0.12
1,0.67,-0.67,-0.06
1,0.49,-0.61,-0.06
1,0.43,-0.67,0.00
1,0.61,-0.67,-0.06
1,0.61,-0.61,-0.06
1,0.37,-0.67,0.00
1,0.49,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.55,-0.73,-0.06
1,0.61,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.31,-0.67,0.00
1,0.55,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.49,-0.67,-0.12
1,0.37,-0.61,0.00
1,0.61,-0.67,-0.06
1,0.55,-0.61,-0.12
1,0.37,-0.67,0.00
1,0.31,-0.61,0.00
1,0.24,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.24,-0.61,-0.06
1,0.43,-0.67,-0.06
1,0.61,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.31,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.37,-0.67,0.00
1,0.49,-0.67,-0.06
1,0.61,-0.67,-0.12
1,0.24,-0.67,0.00
1,0.55,-0.61,-0.06
1,0.43,-0.67,0.00
1,0.55,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.43,-0.67,0.00
1,0.61,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.49,-0.67,0.00
1,0.37,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.49,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.43,-0.67,0.00
1,0.24,-0.61,0.00
1,0.55,-0.73,-0.06
1,0.61,-0.67,-0.06
1,0.37,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.31,-0.67,0.00
1,0.55,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.24,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.55,-0.67,0.00
1,0.55,-0.67,-0.06
1,0.31,-0.61,0.00
1,0.37,-0.55,0.00
1,0.43,-0.61,0.00
1,0.49,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.43,-0.61,-0.06
1,0.61,-0.67,-0.12
1,0.49,-0.61,-0.06
1,0.55,-0.67,0.00
1,0.43,-0.61,0.00
1,0.43,-0.67,-0.06
1,0.61,-0.67,0.00
1,0.55,-0.61,-0.06
1,0.61,-0.67,-0.12
1,0.49,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.43,-0.67,-0.06
1,0.43,-0.67,-0.12
1,0.37,-0.67,0.00
1,0.37,-0.61,-0.06
1,0.37,-0.61,-0.06
1,0.55,-0.67,-0.06
1,0.61,-0.67,-0.06
1,0.37,-0.61,0.00
1,0.61,-0.61,-0.06
1,0.43,-0.61,-0.06
1,0.43,-0.67,-0.06
1,0.55,-0.67,-0.12
1,0.37,-0.67,0.00
1,0.49,-0.67,-0.06
1,0.31,-0.61,-0.06
1,0.55,-0.73,-0.06
1,0.61,-0.61,-0.06
1,0.49,-0.61,-0.06
1,0.24,-0.61,-0.06
1,0.61,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.49,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.43,-0.61,-0.06
1,0.49,-0.67,-0.06
1,0.67,-0.67,-0.12
1,0.43,-0.67,-0.06
1,0.43,-0.61,0.00
1,0.55,-0.61,-0.12
1,0.55,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.37,-0.61,-0.06
1,0.37,-0.67,0.00
1,0.55,-0.67,-0.06
1,0.61,-0.67,-0.12
1,0.37,-0.67,0.00
1,0.49,-0.67,-0.06
1,0.37,-0.67,-0.06
1,0.55,-0.67,-0.06
1,0.67,-0.67,-0.06
1,0.43,-0.67,-0.06
1,0.24,-0.61,-0.06
1,0.61,-0.67,-0.06
